Ürün,Üretim,EkildiğiAy,TohumFiyatı,Bölge,ÜretimSüresi,SatışFiyatı,EkilenAlan,DestekParası,sonuç,binarySonuc,durum
Ayçiçeği,1949229,Eylül,14.0,Marmara,Uzun Süre,2.7,7344651.0,30,-1494.6,1,Kar
Mısır,5700000,Kasım,2.23,Akdeniz,Uzun Süre,1.5,5919003.0,29,-55.42,1,Kar
Kolza,180000,Eylül,1.12,Marmara,Uzun Süre,1.7,5251000.0,21,61.32,1,Kar
Kuru Fasulye,225000,Mart,1.9,Akdeniz,Uzun Süre,12.0,8889860.0,26,956.8,1,Kar
Pamuk,2200000,Mart,0.7,Güneydoğu Anadolu,Uzun Süre,4.0,4778681.0,80,837.6,1,Kar
Mercimek,310000,Ekim,4.5,Güneydoğu Anadolu,Kısa Süre,5.0,2427761.0,26,4.70000000000005,1,Kar
Nohut,630000,Mart,10.5,İç Anadolu,Uzun Süre,8.0,5144159.0,26,-567.6,1,Kar
Patates,4550000,Aralık,7.9,Doğu Anadolu,Uzun Süre,2.0,1359373.0,31,-737.2,1,Kar
Soya,150000,Nisan,4.0,Karadeniz,Uzun Süre,17.4,3529470.0,30,1331.4,1,Kar
Tütün,70000,Nisan,1.9,Ege,Kısa Süre,50.0,810349.0,0,4625.1,1,Kar
Çay,848801,Mart,1.35,Karadeniz,Uzun Süre,35.0,1450000.0,21,3320.5,1,Kar
Yerfıstığı,169328,Nisan,7.0,Akdeniz,Uzun Süre,17.5,4221810.0,0,563.4,1,Kar
Buğday,7600000,Kasım,1.3,İç Anadolu,Uzun Süre,79.3,57507636.0,27,7777.2,1,Kar
Arpa,400000,Kasım,1.9,İç Anadolu,Uzun Süre,1.5,1304304.0,27,-71.2,1,Kar
Çavdar,310000,Kasım,1.4,Doğu Anadolu,Uzun Süre,1.75,1121642.0,27,50.8,1,Kar
Yulaf,260000,Ekim,2.0,İç Anadolu,Uzun Süre,1.3,1058254.0,27,-64.6,1,Kar
Çeltik,940000,Mayıs,1.5,Marmara,Uzun Süre,10.0,1201424.0,66,1270.4,1,Kar
Aspir,138,Mart,2.3,İç Anadolu,Kısa Süre,5.0,8478630.0,21,285.5,1,Kar
Ayçiçeği,2100000,Eylül,14.0,Marmara,Uzun Süre,17.5,7526318.0,30,-14.5999999999999,1,Kar
Mısır,6000000,Kasım,2.23,Akdeniz,Uzun Süre,2.7,6388287.0,29,64.58,1,Kar
Kolza,125000,Eylül,1.12,Marmara,Uzun Süre,1.7,3784560.0,21,61.32,1,Kar
Fasulye,847863,Mart,1.9,Akdeniz,Uzun Süre,12.0,2250000.0,26,956.8,1,Kar
Pamuk,2570000,Mart,0.7,Güneydoğu Anadolu,Uzun Süre,4.0,5186342.0,80,837.6,1,Kar
Mercimek,43631,Ekim,4.5,Doğu Anadolu,Kısa Süre,5.0,43631.0,26,4.70000000000005,1,Kar
Nohut,630000,Mart,10.5,Doğu Anadolu,Uzun Süre,8.0,5205951.0,26,-567.6,1,Kar
Patates,4979824,Aralık,7.9,İç Anadolu,Uzun Süre,2.0,1408967.0,31,-737.2,1,Kar
Soya,328483,Nisan,4.0,Karadeniz,Uzun Süre,17.4,1500000.0,30,1331.4,1,Kar
Yerfıstığı,443342,Nisan,7.0,Akdeniz,Uzun Süre,16.0,1738350.0,0,477.4,1,Kar
Soğan,142854,Şubat,4.9,İç Anadolu,Kısa Süre,2.0,863020.0,21,-370.9,1,Kar
Soğan,1930695,Eylül,4.9,Güneydoğu Anadolu,Uzun Süre,3.0,5271330.0,0,-565.2,1,Kar
Sarımsak,25519,Ekim,3.0,Güneydoğu Anadolu,Uzun Süre,50.0,205790.0,0,4349.4,1,Kar
Sarımsak,117688,Mart,4.0,İç Anadolu,Uzun Süre,40.0,1333970.0,0,3235.4,1,Kar
Pırasa,252958,Mart,3.4,Akdeniz,Uzun Süre,1.2,777790.0,0,-514.2,1,Kar
Havuç,642837,Mart,2.9,İç Anadolu,Kısa Süre,3.0,1234780.0,0,-212.9,1,Kar
Şalgam,1530,Eylül,4.9,Doğu Anadolu,Kısa Süre,2.5,6910.0,0,-580.9,1,Kar
Pancar,8119,Mart,6.9,İç Anadolu,Uzun Süre,5.25,30170.0,0,-606.2,1,Kar
Kereviz,21603,Mart,4.5,Ege,Kısa Süre,3.0,95110.0,0,-507.3,1,Kar
Turp,14003,Mart,4.9,Doğu Anadolu,Kısa Süre,2.0,65930.0,0,-648.9,1,Kar
Turp,177067,Ekim,6.9,Karadeniz,Kısa Süre,3.0,563380.0,0,-804.9,1,Kar
Turp,5914,Haziran,4.9,İç Anadolu,Kısa Süre,2.5,18360.0,0,-578.9,1,Kar
Domates,3735080,Ocak,3.8,Ege,Kısa Süre,3.0,5197420.0,0,-393.5,1,Kar
Salatalık,1701735,Mart,4.95,Akdeniz,Kısa Süre,1.2,2888520.0,0,-683.6,1,Kar
Acur,42631,Mart,3.9,Güneydoğu Anadolu,Kısa Süre,4.0,233620.0,0,-272.9,1,Kar
Biber,1128060,Şubat,4.4,Güneydoğu Anadolu,Kısa Süre,2.25,3462480.0,0,-478.9,1,Kar
Biber,397175,Mart,9.9,Ege,Kısa Süre,3.0,1313510.0,0,-1210.9,1,Kar
Biber,930349,Nisan,7.8,Marmara,Uzun Süre,4.3,2908850.0,0,-811.8,1,Kar
Biber,99390,Mayıs,9.9,Güneydoğu Anadolu,Uzun Süre,3.0,180400.0,0,-1295.2,1,Kar
Bamya,29111,Mart,3.8,Ege,Kısa Süre,15.0,515800.0,0,766.5,1,Kar
Patlıcan,836284,Ocak,4.5,Doğu Anadolu,Uzun Süre,2.0,1992920.0,0,-611.6,1,Kar
Kabak,474527,Haziran,3.49,Marmara,Uzun Süre,3.0,997770.0,0,-436.26,1,Kar
Balkabağı,87207,Mart,6.14,Ege,Uzun Süre,5.0,360400.0,0,-611.36,1,Kar
